 2.003240850e+02, 3.088712692e-04, 1.992886682e-04
 2.003247661e+02, 5.028247833e-04, 1.993045880e-04
 2.003254472e+02, 4.409551620e-04, 1.993205660e-04
 2.003261283e+02, 1.355409622e-04, 1.993365877e-04
 2.003268094e+02,-4.410743713e-05, 1.993526530e-04
 2.003274905e+02, 1.968145370e-04, 1.993687765e-04
 2.003281717e+02, 2.130270004e-04, 1.993849728e-04
 2.003288528e+02, 3.887414932e-04, 1.994012127e-04
 2.003295339e+02, 3.800392151e-04, 1.994174818e-04
 2.003302151e+02, 4.127025604e-04, 1.994338090e-04
 2.003308962e+02, 5.136728287e-04, 1.994502090e-04
 2.003315772e+02, 3.956556320e-04, 1.994666527e-04
 2.003322583e+02, 3.786087036e-04, 1.994831400e-04
 2.003329395e+02, 8.705854416e-04, 1.994996856e-04
 2.003336207e+02, 3.627538681e-04, 1.995162893e-04
 2.003343019e+02, 6.422996521e-04, 1.995329076e-04
 2.003349830e+02, 2.796649933e-04, 1.995496277e-04
 2.003356641e+02, 3.145933151e-04, 1.995663770e-04
 2.003363453e+02, 1.250505447e-04, 1.995831844e-04
 2.003370263e+02, 1.623630524e-04, 1.996000356e-04
 2.003377074e+02, 5.756616592e-04, 1.996169303e-04
 2.003383885e+02, 5.469322205e-04, 1.996338979e-04
 2.003390697e+02, 2.042055130e-04, 1.996508945e-04
 2.003397508e+02,-1.084804535e-04, 1.996679639e-04
 2.003404320e+02, 3.300905228e-04, 1.996850770e-04
 2.003411131e+02, 1.946687698e-04, 1.996673527e-04
 2.003417942e+02, 1.115798950e-04, 1.996496721e-04
 2.003424754e+02, 3.473758698e-04, 1.996320498e-04
 2.003431564e+02, 8.952617645e-05, 1.996145002e-04
 2.003438375e+02, 5.398988724e-04, 1.995969797e-04
 2.003445187e+02, 2.266168594e-04, 1.995795028e-04
 2.003451998e+02, 3.923177719e-04, 1.995621133e-04
 2.003458809e+02, 4.340410233e-04, 1.995447383e-04
 2.003465621e+02, 3.007650375e-04, 1.995274506e-04
 2.003472432e+02, 7.224082947e-04, 1.995101775e-04
 2.003479243e+02, 4.132986069e-04, 1.994929626e-04
 2.003486054e+02, 1.279115677e-04, 1.994758059e-04
 2.003492865e+02, 4.708766937e-04, 1.994587074e-04
 2.003499676e+02, 3.021955490e-04, 1.994416380e-04
 2.003506487e+02, 2.048015594e-04, 1.994246559e-04
 2.003513299e+02, 3.960132599e-04, 1.994077174e-04
 2.003520110e+02, 6.043910980e-04, 1.993908081e-04
 2.003526921e+02, 5.611181259e-04, 1.993739716e-04
 2.003533733e+02, 3.579854965e-04, 1.993571641e-04
 2.003540543e+02, 1.466274261e-05, 1.993404294e-04
 2.003547354e+02, 1.970529556e-04, 1.993229525e-04
 2.003554166e+02, 6.232261658e-04, 1.993047044e-04
 2.003560978e+02, 6.518363953e-04, 1.992865291e-04
 2.003567789e+02, 5.531311035e-04, 1.992683974e-04
 2.003574600e+02, 6.819963455e-04, 1.993031328e-04
